raqam,fayl,sinf,izoh
1,t000_IMG_20260711_080954_2000_900.jpg,,
2,t001_IMG_20260711_082429_0_900.jpg,,
3,t002_IMG_20260711_082039_2000_900.jpg,,
4,t003_IMG_20260711_083315_1000_900.jpg,,
5,t004_IMG_20260711_081225_1000_900.jpg,,
6,t005_IMG_20260711_081225_2000_900.jpg,,
7,t006_IMG_20260711_083628_2000_900.jpg,,
8,t007_IMG_20260711_080324_1000_900.jpg,,
9,t008_IMG_20260711_080300_2000_900.jpg,,
10,t009_IMG_20260711_082532_1000_900.jpg,,
11,t010_IMG_20260711_083346_2000_900.jpg,,
12,t011_IMG_20260711_083628_1000_900.jpg,,
13,t012_IMG_20260711_080954_1000_900.jpg,,
14,t013_IMG_20260711_080955_2000_900.jpg,,
15,t014_IMG_20260711_083521_2000_900.jpg,,
16,t015_IMG_20260711_083328_2000_900.jpg,,
17,t016_IMG_20260711_082528_2000_900.jpg,,
18,t017_IMG_20260711_081213_2000_900.jpg,,
19,t018_IMG_20260711_082429_1000_900.jpg,,
20,t019_IMG_20260711_083344_2000_900.jpg,,
21,t020_IMG_20260711_082333_2000_900.jpg,,
22,t021_IMG_20260711_080445_2000_900.jpg,,
23,t022_IMG_20260711_083309_1000_900.jpg,,
24,t023_IMG_20260711_080324_2000_900.jpg,,
25,t024_IMG_20260711_082527_2000_900.jpg,,
26,t025_IMG_20260711_083521_1000_900.jpg,,
27,t026_IMG_20260711_083315_2000_900.jpg,,
28,t027_IMG_20260711_082157_2000_900.jpg,,
29,t028_IMG_20260711_080955_1_2000_900.jpg,,
30,t029_IMG_20260711_082045_1000_900.jpg,,
31,t030_IMG_20260711_080302_2000_900.jpg,,
32,t031_IMG_20260711_083148_2000_900.jpg,,
33,t032_IMG_20260711_083344_1000_900.jpg,,
34,t033_IMG_20260711_083246_2000_900.jpg,,
35,t034_IMG_20260711_082045_0_900.jpg,,
36,t035_IMG_20260711_080257_2000_900.jpg,,
37,t036_IMG_20260711_083328_1000_900.jpg,,
38,t037_IMG_20260711_083319_1000_900.jpg,,
39,t038_IMG_20260711_083515_2000_900.jpg,,
