epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,513.315,2.07613,2.66744,1.91417,0.31405,0.04879,0.02285,0.00926,2.96694,5.40489,2.62431,0.0670257,0.000333073,0.000333073
2,952.97,1.99537,2.47012,1.864,0.35241,0.16983,0.1517,0.07203,2.01963,2.43901,1.88458,0.0340257,0.000666334,0.000666334
3,1400.45,1.91482,2.31229,1.79384,0.37433,0.21468,0.18506,0.08148,1.94791,2.28467,1.83627,0.00102531,0.000999306,0.000999306
4,1848.31,1.86203,2.19711,1.75646,0.45984,0.27692,0.26169,0.1267,1.80341,1.91098,1.71187,0.000999023,0.000999023,0.000999023
5,2297.26,1.80833,2.08679,1.71496,0.59724,0.28302,0.27122,0.1357,1.73636,1.81411,1.64636,0.000998264,0.000998264,0.000998264
6,2744.34,1.77617,2.02522,1.68694,0.57705,0.28202,0.29179,0.14799,1.67817,1.74594,1.63178,0.000997288,0.000997288,0.000997288
7,3191.17,1.74928,1.97277,1.67147,0.52992,0.35842,0.33669,0.17195,1.64001,1.65322,1.60928,0.000996097,0.000996097,0.000996097
8,3638.5,1.72461,1.9147,1.6494,0.56092,0.35061,0.34398,0.17541,1.63697,1.62943,1.58645,0.00099469,0.00099469,0.00099469
9,4088.53,1.71136,1.88008,1.63544,0.51245,0.39885,0.35831,0.19115,1.57782,1.56465,1.54465,0.000993068,0.000993068,0.000993068
10,4538.63,1.69158,1.84715,1.62261,0.42833,0.32561,0.36554,0.19516,1.56624,1.51956,1.54148,0.000991232,0.000991232,0.000991232
11,4989.95,1.67351,1.81555,1.60886,0.52496,0.4229,0.38575,0.20547,1.54805,1.50204,1.52521,0.000989183,0.000989183,0.000989183
12,5438.66,1.65741,1.78676,1.59427,0.45103,0.40852,0.39941,0.2135,1.52164,1.45297,1.50495,0.000986922,0.000986922,0.000986922
13,5889.27,1.65064,1.76897,1.58805,0.59954,0.39563,0.40964,0.2213,1.51324,1.4356,1.49797,0.000984449,0.000984449,0.000984449
14,6340.01,1.64135,1.74676,1.5799,0.53472,0.40586,0.40446,0.22343,1.49998,1.41692,1.49307,0.000981765,0.000981765,0.000981765
15,6790.09,1.63173,1.73199,1.5791,0.56073,0.40524,0.41708,0.22838,1.49576,1.39787,1.49317,0.000978873,0.000978873,0.000978873
16,7240.12,1.6182,1.70609,1.55683,0.54888,0.42929,0.41937,0.23308,1.48952,1.38419,1.47861,0.000975773,0.000975773,0.000975773
