epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1212.85,2.06832,2.84384,2.05829,0.48197,0.14341,0.15252,0.06277,2.07067,2.6112,2.067,0.0670193,0.000333138,0.000333138
2,2318.67,1.9534,2.55921,1.96613,0.36736,0.21285,0.16727,0.07472,2.06555,2.48348,2.06124,0.0340192,0.000666399,0.000666399
3,3480.48,1.90404,2.44679,1.92197,0.67674,0.22224,0.23059,0.11247,1.8238,2.13156,1.85891,0.00101888,0.000999371,0.000999371
4,4443.23,1.81343,2.24926,1.84252,0.54825,0.25337,0.26728,0.13248,1.73943,1.98097,1.82599,0.000999023,0.000999023,0.000999023
5,5409.02,1.76712,2.15337,1.80625,0.59843,0.31778,0.30536,0.1527,1.69683,1.87214,1.7665,0.000998264,0.000998264,0.000998264
6,6372.39,1.73401,2.07349,1.77856,0.58818,0.30937,0.31574,0.16236,1.65366,1.81493,1.73027,0.000997288,0.000997288,0.000997288
7,7334.84,1.71496,2.03324,1.76253,0.52736,0.34894,0.35319,0.18363,1.63531,1.70234,1.72074,0.000996097,0.000996097,0.000996097
8,8294.93,1.69754,1.9803,1.74232,0.62769,0.37876,0.38402,0.19996,1.60044,1.64565,1.67002,0.00099469,0.00099469,0.00099469
9,9259.22,1.67701,1.93985,1.72701,0.65523,0.35126,0.38769,0.20463,1.56497,1.59467,1.64927,0.000993068,0.000993068,0.000993068
10,10220,1.66188,1.90735,1.71546,0.61756,0.3801,0.39966,0.21108,1.55092,1.55937,1.64164,0.000991232,0.000991232,0.000991232
11,11182,1.64655,1.8821,1.70103,0.65756,0.38326,0.41473,0.22124,1.53378,1.52328,1.62303,0.000989183,0.000989183,0.000989183
12,12144.7,1.63341,1.84363,1.68617,0.66639,0.3945,0.43549,0.23206,1.52137,1.49453,1.60901,0.000986922,0.000986922,0.000986922
13,13107.6,1.61881,1.82221,1.67954,0.6217,0.42698,0.4621,0.24638,1.50796,1.46043,1.60757,0.000984449,0.000984449,0.000984449
14,14070.7,1.61179,1.79803,1.66916,0.56723,0.42743,0.44945,0.24144,1.49149,1.42934,1.58671,0.000981765,0.000981765,0.000981765
15,15032.7,1.60256,1.77217,1.66224,0.62847,0.41807,0.46623,0.25854,1.48799,1.4068,1.5786,0.000978873,0.000978873,0.000978873
16,15994.7,1.59724,1.74989,1.64939,0.52662,0.43625,0.46999,0.25865,1.47903,1.39185,1.57233,0.000975773,0.000975773,0.000975773
17,16957,1.58372,1.73122,1.64231,0.60076,0.4443,0.47462,0.26349,1.47305,1.37673,1.56938,0.000972466,0.000972466,0.000972466
18,17920.4,1.5756,1.71087,1.63764,0.54657,0.42177,0.48152,0.26765,1.4664,1.3667,1.56638,0.000968955,0.000968955,0.000968955
19,18882.6,1.57036,1.69399,1.63183,0.51219,0.44994,0.49666,0.27573,1.46218,1.34832,1.55971,0.000965239,0.000965239,0.000965239
20,19844.5,1.55977,1.67418,1.62199,0.50612,0.44777,0.5025,0.28187,1.46256,1.33288,1.55896,0.000961322,0.000961322,0.000961322
21,20806.9,1.55131,1.65348,1.61467,0.53543,0.44801,0.5112,0.28856,1.46424,1.32418,1.55938,0.000957205,0.000957205,0.000957205
22,21770.2,1.54552,1.64232,1.61081,0.55308,0.4454,0.51653,0.29022,1.45846,1.31268,1.55414,0.000952889,0.000952889,0.000952889
23,22732.1,1.53621,1.63405,1.60444,0.5496,0.45297,0.51568,0.29128,1.45526,1.30715,1.55156,0.000948377,0.000948377,0.000948377
24,23696.1,1.52756,1.61058,1.59344,0.607,0.44108,0.51776,0.29045,1.4543,1.29982,1.55007,0.000943671,0.000943671,0.000943671
25,24658,1.531,1.59981,1.59302,0.5565,0.44952,0.52266,0.29791,1.45196,1.29307,1.54794,0.000938772,0.000938772,0.000938772
26,25621.2,1.52791,1.58658,1.58914,0.58601,0.44009,0.52948,0.30382,1.44976,1.28778,1.54571,0.000933683,0.000933683,0.000933683
27,26583.4,1.5154,1.57429,1.58583,0.5758,0.44713,0.52444,0.30153,1.44754,1.28195,1.54407,0.000928405,0.000928405,0.000928405
28,27544.1,1.50756,1.55843,1.57538,0.53338,0.45673,0.52788,0.30428,1.44672,1.27742,1.54245,0.000922942,0.000922942,0.000922942
29,28507.1,1.50995,1.54655,1.57603,0.46072,0.5169,0.53604,0.30884,1.44596,1.27156,1.5404,0.000917296,0.000917296,0.000917296
30,29469.3,1.50203,1.53885,1.57088,0.46434,0.51714,0.53383,0.30812,1.44636,1.26701,1.53895,0.000911469,0.000911469,0.000911469
31,30431.7,1.49727,1.52422,1.56484,0.5845,0.52978,0.54371,0.31646,1.44555,1.26486,1.53623,0.000905463,0.000905463,0.000905463
32,31393.3,1.49118,1.51362,1.5601,0.59187,0.52065,0.54333,0.31612,1.44539,1.26513,1.53289,0.000899282,0.000899282,0.000899282
33,32355.2,1.48328,1.50757,1.55185,0.6417,0.51274,0.54362,0.31609,1.44634,1.26764,1.53024,0.000892928,0.000892928,0.000892928
34,33316.4,1.47988,1.50381,1.54786,0.55532,0.54165,0.53344,0.30518,1.44758,1.2712,1.52802,0.000886404,0.000886404,0.000886404
35,34278.5,1.47793,1.48424,1.54545,0.57817,0.53961,0.53612,0.30507,1.45012,1.27854,1.52591,0.000879713,0.000879713,0.000879713
36,35241.5,1.47274,1.48122,1.54405,0.66035,0.4971,0.54365,0.31045,1.45236,1.2887,1.52376,0.000872857,0.000872857,0.000872857
37,36203.3,1.46467,1.47014,1.53555,0.67424,0.49089,0.53962,0.30736,1.45636,1.30401,1.52267,0.000865839,0.000865839,0.000865839
38,37165,1.46122,1.4636,1.53509,0.67142,0.47181,0.53139,0.30488,1.45927,1.32245,1.52025,0.000858664,0.000858664,0.000858664
39,38127,1.45363,1.44807,1.52486,0.69428,0.44538,0.52394,0.3043,1.46208,1.34389,1.5181,0.000851333,0.000851333,0.000851333
40,39089.8,1.4512,1.43778,1.52407,0.68981,0.43679,0.51833,0.30105,1.46554,1.36653,1.5167,0.000843851,0.000843851,0.000843851
41,40053.8,1.45031,1.42954,1.52443,0.68062,0.42801,0.51006,0.2957,1.46889,1.3854,1.51627,0.00083622,0.00083622,0.00083622
42,41015.6,1.44387,1.41806,1.5179,0.67816,0.41137,0.50319,0.29244,1.47138,1.40223,1.51566,0.000828443,0.000828443,0.000828443
43,41976.6,1.4393,1.4049,1.51228,0.70899,0.38784,0.49648,0.29062,1.4731,1.41299,1.51542,0.000820525,0.000820525,0.000820525
44,42938.8,1.43584,1.3909,1.50811,0.70991,0.3869,0.48276,0.28633,1.47249,1.41879,1.51423,0.000812468,0.000812468,0.000812468
45,43901.3,1.4265,1.38227,1.50059,0.70775,0.38992,0.4858,0.29662,1.47145,1.4177,1.51382,0.000804277,0.000804277,0.000804277
46,44863.6,1.42028,1.38235,1.49969,0.70309,0.38964,0.49476,0.30527,1.46953,1.40964,1.51306,0.000795954,0.000795954,0.000795954
47,45825,1.41918,1.36927,1.49755,0.69042,0.39327,0.49331,0.30938,1.46672,1.39359,1.51187,0.000787503,0.000787503,0.000787503
48,46787.9,1.42031,1.3655,1.49384,0.68968,0.39239,0.49317,0.31833,1.46238,1.37822,1.51062,0.000778929,0.000778929,0.000778929
